location,Km,Transmission,Prix,Source,Modele,Carburant,Marque,Origine,Cv,Mc,PremiereMain,Portes,Couleur,Etat,MoisScraping,Prix_Neuf,BlueHDi,dCi,TDI,CRDi,EAT8,BVA,STT,Active,Allure,GT,Titanium,RS,S-Tronic,quattro,S-line,Business,Ambiance,Confort,Prestige,Pack,Promo,Life,Edition,Trend,Elegance,Premium,Techno,Explore,Executive,Dynamic,Intens,Luxe,Seductive,Stepway,promo,RS_Line,Multijet,Panorama,Combi,Enginereed,E-Tech,HEV,Prix_Expert
casablanca,88182,manuelle,110000.0,Rentals,express,diesel,renault,unknown,6.0,2021,non,5.0,unknown,bon,6.0,149000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68838.0
casablanca,96571,manuelle,112000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2019,non,5.0,unknown,bon,6.0,152000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51224.0
casablanca,7983,manuelle,196000.0,Classified,crossland,diesel,opel,ww,6.0,2023,oui,5.0,unknown,bon,6.0,259000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96179.55
casablanca,29364,automatique,235000.0,Classified,duster,diesel,dacia,ww,6.0,2022,oui,5.0,unknown,bon,6.0,237000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96179.55
casablanca,32027,manuelle,141000.0,Rentals,express,diesel,renault,unknown,6.0,2023,non,5.0,blanc,bon,6.0,169000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96179.55
casablanca,93115,manuelle,110000.0,Rentals,express,diesel,renault,unknown,6.0,2021,non,5.0,unknown,bon,6.0,149000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68391.0
casablanca,46075,manuelle,95000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2019,non,5.0,unknown,bon,6.0,184900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65269.7
casablanca,163387,manuelle,124000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2021,non,5.0,gris,bon,6.0,153400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,96179.55
casablanca,46966,manuelle,95000.0,Rentals,kangoo,diesel,renault,unknown,6.0,2019,non,5.0,unknown,bon,6.0,184900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,65269.7
casablanca,187596,manuelle,100000.0,Rentals,dokker,diesel,dacia,unknown,6.0,2019,non,5.0,blanc,bon,6.0,141900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96179.55
casablanca,7983,manuelle,196000.0,Classified,crossland,diesel,opel,ww,6.0,2023,oui,5.0,unknown,bon,6.0,259000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96179.55
casablanca,119749,manuelle,102000.0,Rentals,doblo,diesel,fiat,unknown,5.0,2021,non,5.0,unknown,bon,6.0,149900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,68204.5
casablanca,84077,automatique,440000.0,Classified,touareg,diesel,volkswagen,ww,12.0,2021,oui,5.0,unknown,bon,6.0,849000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96179.55
agadir,19731,manuelle,210000.0,Classified,crossland,diesel,opel,unknown,6.0,2023,non,5.0,blanc,bon,6.0,259000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170163.0
casablanca,111597,manuelle,169000.0,Classified,corsa,diesel,opel,unknown,6.0,2023,non,5.0,rouge,bon,6.0,173000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,106741.0
casablanca,115310,manuelle,141000.0,Rentals,other,diesel,peugeot,unknown,6.0,2021,non,5.0,blanc,bon,6.0,231000.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96179.55
casablanca,91548,manuelle,150000.0,Classified,corsa,diesel,opel,unknown,6.0,2020,non,5.0,gris,bon,6.0,169000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63544.0
casablanca,145413,automatique,168000.0,Classified,touareg,diesel,volkswagen,ww,12.0,2014,non,5.0,unknown,bon,6.0,890000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96179.55
casablanca,81964,manuelle,194000.0,Rentals,other,diesel,peugeot,unknown,8.0,2020,non,5.0,unknown,bon,6.0,389900.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148162.0
casablanca,144060,manuelle,97000.0,Rentals,express,diesel,renault,unknown,6.0,2021,non,5.0,unknown,bon,6.0,149000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,64070.0
oujda,100875,automatique,179000.0,Classified,other,diesel,hyundai,unknown,6.0,2022,non,5.0,gris,bon,6.0,200000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000.0
